Target: DefaultSC

Observer: Gatineau
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2026 12:31:20.862    01 Jan 2026 12:36:36.712      315.84949382    
01 Jan 2026 20:13:45.440    01 Jan 2026 20:20:20.905      395.46422681    
01 Jan 2026 21:46:52.549    01 Jan 2026 21:57:10.274      617.72533644    
01 Jan 2026 23:26:00.112    01 Jan 2026 23:30:33.325      273.21228072    
02 Jan 2026 09:28:39.604    02 Jan 2026 09:35:54.363      434.75850674    
02 Jan 2026 11:03:12.071    02 Jan 2026 11:13:19.161      607.08972348    
02 Jan 2026 12:41:02.303    02 Jan 2026 12:44:52.431      230.12786563    
02 Jan 2026 20:22:21.919    02 Jan 2026 20:29:44.949      443.02955767    
02 Jan 2026 21:56:01.663    02 Jan 2026 22:06:16.441      614.77755992    
02 Jan 2026 23:36:38.398    02 Jan 2026 23:38:25.667      107.26916614    
03 Jan 2026 09:37:29.089    03 Jan 2026 09:45:30.312      481.22263531    
03 Jan 2026 11:12:22.329    03 Jan 2026 11:22:19.700      597.37134743    
03 Jan 2026 12:51:25.592    03 Jan 2026 12:52:24.776      59.183821699    
03 Jan 2026 20:31:03.204    03 Jan 2026 20:39:05.658      482.45323270    
03 Jan 2026 22:05:13.513    03 Jan 2026 22:15:21.245      607.73179340    
04 Jan 2026 09:46:22.711    04 Jan 2026 09:55:00.641      517.93007363    
04 Jan 2026 11:21:33.845    04 Jan 2026 11:31:17.597      583.75259178    
04 Jan 2026 20:39:48.443    04 Jan 2026 20:48:23.865      515.42214523    
04 Jan 2026 22:14:28.231    04 Jan 2026 22:24:24.559      596.32749151    
05 Jan 2026 09:55:19.424    05 Jan 2026 10:04:26.425      547.00087061    
05 Jan 2026 11:30:46.692    05 Jan 2026 11:40:12.770      566.07808872    
05 Jan 2026 20:48:37.121    05 Jan 2026 20:57:40.071      542.95022873    
05 Jan 2026 22:23:46.012    05 Jan 2026 22:33:26.199      580.18676421    
06 Jan 2026 10:04:18.588    06 Jan 2026 10:13:48.333      569.74529971    
06 Jan 2026 11:40:00.993    06 Jan 2026 11:49:05.082      544.08865327    
06 Jan 2026 20:57:28.905    06 Jan 2026 21:06:54.591      565.68573519    
06 Jan 2026 22:33:07.132    06 Jan 2026 22:42:25.903      558.77038061    
07 Jan 2026 10:13:19.778    07 Jan 2026 10:23:06.807      587.02977615    
07 Jan 2026 11:49:16.943    07 Jan 2026 11:57:54.327      517.38391825    
07 Jan 2026 21:06:23.577    07 Jan 2026 21:16:07.631      584.05477689    
07 Jan 2026 22:42:31.990    07 Jan 2026 22:51:23.291      531.30081244    
08 Jan 2026 10:22:22.704    08 Jan 2026 10:32:22.154      599.45006497    
08 Jan 2026 11:58:34.838    08 Jan 2026 11:59:59.994      85.155541054    


Number of events : 33


Observer: Inuvik
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2026 12:26:52.577    01 Jan 2026 12:32:27.843      335.26631385    
01 Jan 2026 14:01:52.377    01 Jan 2026 14:11:23.689      571.31160647    
01 Jan 2026 15:37:32.671    01 Jan 2026 15:47:46.900      614.22901443    
01 Jan 2026 17:13:14.840    01 Jan 2026 17:22:32.037      557.19741621    
01 Jan 2026 18:48:37.454    01 Jan 2026 18:56:22.996      465.54135438    
01 Jan 2026 20:23:12.469    01 Jan 2026 20:30:23.356      430.88791065    
01 Jan 2026 21:57:01.651    01 Jan 2026 22:05:17.550      495.89811018    
01 Jan 2026 23:31:04.549    01 Jan 2026 23:40:49.822      585.27302962    
02 Jan 2026 01:06:18.315    02 Jan 2026 01:16:33.778      615.46251898    
02 Jan 2026 02:43:23.645    02 Jan 2026 02:52:07.948      524.30271150    
02 Jan 2026 04:24:17.201    02 Jan 2026 04:25:50.613      93.412218697    
02 Jan 2026 12:35:51.206    02 Jan 2026 12:42:04.489      373.28214945    
02 Jan 2026 14:10:59.432    02 Jan 2026 14:20:40.596      581.16478898    
02 Jan 2026 15:46:40.838    02 Jan 2026 15:56:52.801      611.96299813    
02 Jan 2026 17:22:22.149    02 Jan 2026 17:31:30.643      548.49441480    
02 Jan 2026 18:57:41.474    02 Jan 2026 19:05:19.504      458.02955017    
02 Jan 2026 20:32:10.959    02 Jan 2026 20:39:24.097      433.13803392    
02 Jan 2026 22:05:58.401    02 Jan 2026 22:14:23.243      504.84279989    
02 Jan 2026 23:40:05.956    02 Jan 2026 23:49:57.628      591.67190453    
03 Jan 2026 01:15:28.641    03 Jan 2026 01:25:41.653      613.01200987    
03 Jan 2026 02:52:47.076    03 Jan 2026 03:01:13.220      506.14338062    
03 Jan 2026 12:44:51.849    03 Jan 2026 12:51:37.981      406.13145829    
03 Jan 2026 14:20:06.715    03 Jan 2026 14:29:56.263      589.54749252    
03 Jan 2026 15:55:49.004    03 Jan 2026 16:05:57.834      608.83006998    
03 Jan 2026 17:31:29.274    03 Jan 2026 17:40:28.774      539.49986743    
03 Jan 2026 19:06:45.024    03 Jan 2026 19:14:16.162      451.13757168    
03 Jan 2026 20:41:09.013    03 Jan 2026 20:48:25.389      436.37634334    
03 Jan 2026 22:14:55.353    03 Jan 2026 22:23:29.246      513.89265965    
03 Jan 2026 23:49:08.064    03 Jan 2026 23:59:05.509      597.44444884    
04 Jan 2026 01:24:40.008    04 Jan 2026 01:34:49.424      609.41638369    
04 Jan 2026 03:02:12.181    04 Jan 2026 03:10:17.893      485.71154207    
04 Jan 2026 12:53:53.959    04 Jan 2026 13:01:08.875      434.91624295    
04 Jan 2026 14:29:14.194    04 Jan 2026 14:39:10.735      596.54180337    
04 Jan 2026 16:04:57.154    04 Jan 2026 16:15:02.032      604.87747311    
04 Jan 2026 17:40:36.194    04 Jan 2026 17:49:26.479      530.28532559    
04 Jan 2026 19:15:48.078    04 Jan 2026 19:23:13.034      444.95580954    
04 Jan 2026 20:50:06.676    04 Jan 2026 20:57:27.227      440.55097494    
04 Jan 2026 22:23:52.568    04 Jan 2026 22:32:35.529      522.96090375    
04 Jan 2026 23:58:10.910    05 Jan 2026 00:08:13.448      602.53862132    
05 Jan 2026 01:33:52.452    05 Jan 2026 01:43:57.070      604.61861815    
05 Jan 2026 03:11:39.101    05 Jan 2026 03:19:21.835      462.73367089    
05 Jan 2026 13:02:57.188    05 Jan 2026 13:10:37.532      460.34462764    
05 Jan 2026 14:38:21.837    05 Jan 2026 14:48:24.058      602.22093703    
05 Jan 2026 16:14:05.274    05 Jan 2026 16:24:05.427      600.15298845    
05 Jan 2026 17:49:42.883    05 Jan 2026 17:58:23.810      520.92624087    
05 Jan 2026 19:24:50.614    05 Jan 2026 19:32:10.183      439.56895986    
05 Jan 2026 20:59:04.003    05 Jan 2026 21:06:29.601      445.59722724    
05 Jan 2026 22:32:50.102    05 Jan 2026 22:41:42.067      531.96437754    
06 Jan 2026 00:07:14.526    06 Jan 2026 00:17:21.430      606.90413840    
06 Jan 2026 01:43:06.009    06 Jan 2026 01:53:04.567      598.55729516    
06 Jan 2026 03:21:08.024    06 Jan 2026 03:28:24.872      436.84755414    
06 Jan 2026 13:12:01.297    06 Jan 2026 13:20:04.202      482.90497349    
06 Jan 2026 14:47:29.618    06 Jan 2026 14:57:36.269      606.65111630    
06 Jan 2026 16:23:13.345    06 Jan 2026 16:33:08.051      594.70534588    
06 Jan 2026 17:58:49.317    06 Jan 2026 18:07:20.819      511.50205610    
06 Jan 2026 19:33:52.613    06 Jan 2026 19:41:07.667      435.05373246    
06 Jan 2026 21:08:01.051    06 Jan 2026 21:15:32.491      451.43983599    
06 Jan 2026 22:41:48.009    06 Jan 2026 22:50:48.833      540.82379815    
07 Jan 2026 00:16:18.945    07 Jan 2026 00:26:29.437      610.49209766    
07 Jan 2026 01:52:20.721    07 Jan 2026 02:02:11.886      591.16534578    
07 Jan 2026 03:30:39.206    07 Jan 2026 03:37:26.759      407.55324826    
07 Jan 2026 13:21:06.115    07 Jan 2026 13:29:29.067      502.95217509    
07 Jan 2026 14:56:37.514    07 Jan 2026 15:06:47.407      609.89305645    
07 Jan 2026 16:32:21.354    07 Jan 2026 16:42:09.939      588.58464224    
07 Jan 2026 18:07:55.468    07 Jan 2026 18:16:17.564      502.09620382    
07 Jan 2026 19:42:54.063    07 Jan 2026 19:50:05.539      431.47649659    
07 Jan 2026 21:16:57.882    07 Jan 2026 21:24:35.877      457.99536144    
07 Jan 2026 22:50:46.340    07 Jan 2026 22:59:55.803      549.46383219    
08 Jan 2026 00:25:24.199    08 Jan 2026 00:35:37.454      613.25458016    
08 Jan 2026 02:01:36.629    08 Jan 2026 02:11:18.998      582.36848298    
08 Jan 2026 03:40:13.014    08 Jan 2026 03:46:27.137      374.12291887    
